object_list,小波次表,,,,,,,,,
怪物组Id,跑道类型,出场次数,间隔时间,开始时间,出口跑道编号,怪物Id,怪物数量,关卡ID,,
2520109,0,3,2000,110000,3,141058,3,13,,
2620101,0,10,2000,2000,0,141057,10,13,,
2620102,0,1,2000,14000,0,141058,2,13,,
2620103,0,10,3000,34000,2,141030,10,13,,
2620104,0,6,3000,54000,1,141057,7,13,,
2620105,0,6,2000,74000,0,141031,7,13,,
2620106,0,3,2000,84000,0,141058,3,13,,
2620107,0,5,3000,100000,0,142032,5,13,,
2620108,0,5,3000,110000,0,142032,5,13,,
2620109,0,1,2000,120000,1,141033,2,13,,
2720101,0,6,1500,2000,1,141057,7,14,,
2720102,0,10,1000,6000,0,141057,10,14,,
2720103,0,10,1000,11000,1,141030,10,14,,
2720104,0,6,800,15000,0,141063,7,14,,
2720201,0,10,1000,2000,0,141030,10,14,,
2720202,0,5,1500,3000,0,141057,10,14,,
2720203,0,1,3000,15000,1,141030,2,14,,
2720204,0,3,2500,23000,1,141034,3,14,,
2720205,0,10,2000,25000,0,141058,10,14,,
2720301,0,6,5000,2000,1,141033,7,14,,
2720302,0,10,3000,5000,0,141030,10,14,,
2720303,0,5,3000,10000,1,142032,5,14,,
2720304,0,10,2500,14000,0,141034,10,14,,
2720305,0,6,1000,19000,0,141063,7,14,,
2720306,0,6,6000,32000,1,141035,7,14,,
2820101,0,3,1500,2000,1,141057,7,14,,
2820102,0,5,1000,6000,0,141057,10,14,,
2820103,0,10,800,11000,1,141030,10,14,,
2820104,0,6,800,15000,0,141063,7,14,,
2820201,0,10,1000,2000,0,141030,10,14,,
2820202,0,5,1500,3000,0,141057,10,14,,
2820203,0,10,3000,15000,1,141030,10,14,,
2820204,0,3,2500,23000,1,141034,3,14,,
2820205,0,6,2000,25000,0,141058,7,14,,
2820301,0,6,5000,2000,1,141033,7,14,,
2820302,0,10,3000,5000,0,141030,10,14,,
2820303,0,3,3000,10000,1,141031,5,14,,
2820304,0,5,2500,14000,0,141034,5,14,,
2820305,0,6,1000,19000,0,141063,7,14,,
2820306,0,10,15000,32000,1,141035,10,14,,
2920101,0,10,1500,2000,0,141057,10,15,,
2920102,0,10,1000,9000,0,141030,10,15,,
2920103,0,3,1500,16000,0,141034,3,15,,
2920201,0,10,3000,2000,0,141030,10,15,,
2920202,0,10,3000,8000,0,141030,10,15,,
2920203,0,6,1500,16000,0,141034,7,15,,
2920204,0,8,1000,24000,0,141057,17,15,,
2920301,0,13,4000,2000,0,141030,14,15,,
2920302,0,13,3000,6000,0,141030,14,15,,
2920303,0,6,2000,9000,0,141058,7,15,,
2920304,1,3,3500,17000,0,142032,3,15,,
2920305,1,6,2500,25000,0,141063,7,15,,
2920401,0,8,1500,2000,0,141057,17,15,,
2920402,0,10,3000,7000,0,141034,10,15,,
2920403,0,3,2000,11000,0,141031,3,15,,
2920404,1,5,1000,20000,0,141035,5,15,,
2920405,1,5,1000,25000,0,141035,5,15,,
2920501,0,5,1500,2000,0,141034,5,15,,
2920502,0,15,3000,6000,0,141033,15,15,,
2920503,1,10,2000,13000,0,141063,10,15,,
2920504,0,3,3000,17000,0,141033,3,15,,
2920505,0,16,500,22000,0,141057,20,15,,
2920506,1,6,3000,27000,0,141063,14,15,,
3020101,0,10,1500,2000,0,141057,10,15,,
3020102,0,3,1000,9000,0,141058,3,15,,
3020103,0,3,1500,16000,0,141034,3,15,,
3020201,0,15,3000,2000,0,141030,15,15,,
3020202,0,15,3000,8000,0,141030,15,15,,
3020203,0,6,1500,16000,0,141058,7,15,,
3020204,0,8,1000,24000,0,141029,17,15,,
3020301,0,17,2000,2000,0,141030,17,15,,
3020302,0,17,2500,6000,0,141030,17,15,,
3020303,0,3,2000,9000,0,141028,3,15,,
3020304,1,10,3500,17000,0,142032,10,15,,
3020305,1,6,2500,25000,0,141063,7,15,,
3020401,0,8,1500,2000,0,141057,17,15,,
3020402,0,10,3000,7000,0,141034,10,15,,
3020403,0,3,2000,11000,0,141058,3,15,,
3020404,1,5,1000,20000,0,141035,5,15,,
3020405,1,5,1000,25000,0,141035,5,15,,
3020501,0,5,1500,2000,0,141034,5,15,,
3020502,0,5,3000,6000,0,141059,5,15,,
3020503,1,10,2000,13000,0,141063,10,15,,
3020504,0,3,3000,17000,0,141059,3,15,,
3020505,0,5,5000,22000,0,141057,10,15,,
3020506,1,6,3000,27000,0,141063,14,15,,
3120101,0,10,1000,2000,0,141030,10,16,,
3120102,0,6,2000,7500,0,141058,7,16,,
3120201,0,17,1000,2000,1,141057,17,16,,
3120202,0,10,3000,9000,1,141030,10,16,,
3120203,0,3,2000,16000,1,141058,3,16,,
3120301,1,3,2500,2000,1,141063,7,16,,
3120302,1,3,2500,6000,0,141063,7,16,,
3120303,1,3,2500,10000,1,141063,7,16,,
3120304,1,3,2500,14000,0,141063,7,16,,
3120401,1,6,2500,2000,1,142032,7,16,,
3120402,1,6,2500,6000,0,142032,7,16,,
3120403,1,6,2500,10000,1,142032,7,16,,
3120404,1,6,2500,14000,0,142032,7,16,,
3120501,1,3,1500,2000,0,141063,7,16,,
3120502,1,3,2000,6000,0,142032,7,16,,
3120503,1,3,2500,10000,0,141063,7,16,,
3120504,1,17,1000,15000,1,141057,17,16,,
3120505,1,17,1500,20000,1,141057,17,16,,
3120601,0,3,1000,2000,0,141034,7,16,,
3120602,0,3,2000,3500,0,141058,3,16,,
3120603,0,10,2000,8000,1,141034,10,16,,
3120604,0,3,2500,9500,1,141058,3,16,,
3120605,1,13,3000,15000,1,141063,14,16,,
3120701,0,5,2500,2000,1,141034,10,16,,
3120702,1,5,2000,6000,1,141063,10,16,,
3120703,1,5,2000,11000,0,141063,10,16,,
3120704,0,17,3000,17000,0,141059,17,16,,
3120705,0,17,2000,24000,1,141059,17,16,,
3120706,0,3,2500,27000,1,141031,5,16,,
3120801,0,17,3000,2000,1,141059,17,16,,
3120802,0,8,2000,5000,1,141058,9,16,,
3120803,0,11,1000,9000,0,141057,20,16,,
3120804,0,17,2000,12000,0,141031,17,16,,
3120805,1,6,2000,18000,1,141035,7,16,,
3120806,0,3,3000,21000,1,141031,5,16,,
3120807,0,5,3000,28000,0,141034,10,16,,
3120901,1,1,2000,2000,0,141035,2,16,,
3120902,0,3,3000,4000,0,141031,3,16,,
3120903,1,1,2000,8000,1,141035,2,16,,
3120904,0,3,3000,10000,1,141031,3,16,,
3120905,1,6,3000,16000,0,141063,7,16,,
3120906,1,6,3000,22000,1,141063,7,16,,
3120907,1,6,3000,28000,0,142032,7,16,,
3120908,0,3,3000,36000,0,141033,3,16,,
3121001,1,3,2000,2000,1,141059,6,16,,
3121002,0,5,1000,3000,1,141029,8,16,,
3121003,0,3,1000,8000,0,141029,8,16,,
3121004,0,7,3000,16000,1,141033,10,16,,
3121005,1,6,2000,26000,0,141035,6,16,,
3121006,0,3,3500,32000,1,141034,8,16,,
3121007,0,5,3000,39000,0,141034,10,16,,
3121008,0,3,2000,48000,1,141031,7,16,,
3220101,0,17,500,2000,0,141057,17,16,,
3220102,0,8,2000,7500,0,141058,9,16,,
3220201,0,17,1000,2000,1,141057,17,16,,
3220202,0,8,3000,9000,1,141030,9,16,,
3220203,0,3,2000,16000,1,141031,3,16,,
3220301,1,17,2500,2000,1,141063,17,16,,
3220302,1,17,2500,6000,0,141057,17,16,,
3220303,1,17,2500,10000,1,141058,17,16,,
3220304,1,3,2500,14000,0,141057,17,16,,
3220401,1,10,2500,2000,1,141030,10,16,,
3220402,1,9,2500,6000,0,141030,10,16,,
3220403,1,8,2500,10000,1,142032,10,16,,
3220404,1,7,2500,14000,0,142032,10,16,,
3220501,1,3,1500,2000,0,141063,7,16,,
3220502,1,3,2000,6000,0,142032,3,16,,
3220503,1,3,2500,10000,0,141063,7,16,,
3220504,1,17,1000,15000,1,141029,17,16,,
3220505,1,17,1500,20000,1,141029,17,16,,
3220601,0,3,1000,2000,0,141034,7,16,,
3220602,0,3,2000,3500,0,141031,3,16,,
3220603,0,10,2000,8000,1,141034,10,16,,
3220604,0,3,2500,9500,1,141031,3,16,,
3220605,1,13,3000,15000,1,141063,14,16,,
3220701,0,5,2500,2000,1,141034,10,16,,
3220702,1,5,2000,6000,1,141063,10,16,,
3220703,1,5,2000,11000,0,141063,10,16,,
3220704,0,1,3000,17000,0,141033,2,16,,
3220705,0,1,2000,24000,1,141033,2,16,,
3220706,0,3,2500,27000,1,141031,5,16,,
3220801,0,3,3000,2000,1,141033,3,16,,
3220802,0,3,2000,5000,1,141031,5,16,,
3220803,0,5,1000,9000,0,141029,10,16,,
3220804,0,3,2000,12000,0,141031,5,16,,
3220805,1,1,2000,18000,1,141035,2,16,,
3220806,0,3,3000,21000,1,141031,5,16,,
3220807,0,5,3000,28000,0,141034,10,16,,
3220901,1,1,2000,2000,0,141035,2,16,,
3220902,0,3,3000,4000,0,141031,3,16,,
3220903,1,1,2000,8000,1,141035,2,16,,
3220904,0,3,3000,10000,1,141031,3,16,,
3220905,1,6,3000,16000,0,141063,7,16,,
3220906,1,6,3000,22000,1,141063,7,16,,
3220907,1,6,3000,28000,0,142032,7,16,,
3220908,0,3,3000,36000,0,141033,3,16,,
3221001,1,1,1000,2000,1,142037,1,16,,
3221002,0,5,1000,3000,1,141057,10,16,,
3221003,0,5,1000,8000,0,141057,15,16,,
3221004,0,4,3000,16000,1,141033,10,16,,
3221005,1,3,2000,26000,0,141035,8,16,,
3221006,0,7,3500,32000,1,141034,10,16,,
3221007,0,6,3000,39000,0,141034,10,16,,
3221008,0,6,2000,48000,1,141058,6,16,,
3320101,0,3,1000,2000,0,141060,10,9,,
3320102,0,3,2500,5000,1,141044,3,9,,
3320103,0,3,2500,10000,0,142045,3,9,,
3320104,0,3,3000,20000,0,141043,3,9,,
3320105,0,3,2000,27000,1,141044,3,9,,
3320106,0,3,1000,39000,0,141038,3,9,,
3320107,0,3,1500,43000,1,141044,3,9,,
3320108,0,3,2000,48000,0,142061,3,9,,
3320109,0,3,1000,6000,1,142061,3,9,,
3420101,0,10,1000,2000,0,141060,10,9,,
3420102,0,3,2500,5000,1,141044,3,9,,
3420103,0,3,2500,10000,0,142045,3,9,,
3420104,0,3,3000,20000,0,141043,3,9,,
3420105,0,3,2000,27000,1,141044,3,9,,
3420106,0,3,1000,39000,0,141038,3,9,,
3420107,0,3,1500,43000,1,141044,3,9,,
3420108,0,3,2000,48000,0,141062,3,9,,
3420109,0,3,1000,6000,1,142061,3,9,,
3520101,0,3,1500,2000,1,141060,3,10,,
3520102,0,3,1000,5500,0,141044,3,10,,
3520103,0,5,2000,8000,0,141042,5,10,,
3520201,0,5,1500,2000,1,141044,5,10,,
3520202,0,3,1000,4500,0,141043,3,10,,
3520203,0,6,1000,9000,1,141038,7,10,,
3520204,0,5,1500,11000,1,141043,10,10,,
3520205,0,5,2500,17500,1,142045,5,10,,
3520206,0,1,1000,30000,0,141040,2,10,,
3520301,0,3,2000,2000,0,141043,3,10,,
3520302,1,5,3500,15000,1,142045,5,10,,
3520303,1,3,2500,18000,0,141043,3,10,,
3520304,0,3,2000,20000,1,141043,3,10,,
3520305,0,5,2000,24000,1,142061,5,10,,
3520306,0,5,2500,29000,0,141042,5,10,,
3520307,0,5,2000,36000,0,142061,5,10,,
3520308,0,3,8000,42000,1,141038,3,10,,
3620101,0,3,1500,2000,1,141060,3,10,,
3620102,0,3,1000,5500,0,141044,3,10,,
3620103,0,5,2000,8000,0,141042,5,10,,
3620201,0,5,1500,2000,1,141044,5,10,,
3620202,0,3,1000,4500,0,141043,3,10,,
3620203,0,10,1000,9000,1,141062,10,10,,
3620204,0,5,1500,11000,1,141043,10,10,,
3620205,0,5,2500,17500,1,142045,5,10,,
3620206,0,1,1000,30000,0,141040,2,10,,
3620301,0,3,2000,2000,0,141043,3,10,,
3620302,1,5,3500,15000,1,142045,5,10,,
3620303,1,3,2500,18000,0,141043,3,10,,
3620304,0,3,2000,20000,1,141043,3,10,,
3620305,0,5,2000,24000,1,142061,10,10,,
3620306,0,5,2500,29000,0,141042,5,10,,
3620307,0,5,2000,36000,0,142061,10,10,,
3620308,0,3,8000,42000,1,141038,3,10,,
3720101,0,17,1000,2000,0,141060,17,11,,
3720102,0,3,3000,3000,0,141044,3,11,,
3720201,0,3,1000,2000,0,141039,3,11,,
3720202,0,5,1500,5500,0,141042,5,11,,
3720203,0,5,1500,9000,0,141042,5,11,,
3720204,0,3,2000,12000,0,142045,3,11,,
3720301,0,3,1500,2000,0,141044,3,11,,
3720302,0,8,1000,4000,0,141043,9,11,,
3720303,0,3,1500,6000,0,141044,7,11,,
3720304,0,8,1000,8000,0,141043,9,11,,
3720305,0,5,2500,12000,0,141043,5,11,,
3720306,0,5,2500,16000,0,141043,5,11,,
3720401,1,1,1000,2000,0,141038,2,11,,
3720402,0,6,1500,5000,0,141044,7,11,,
3720403,0,5,2000,7000,0,141043,5,11,,
3720404,0,5,1000,10000,0,141042,5,11,,
3720405,1,1,1000,16000,0,141038,2,11,,
3720406,0,6,1500,18000,0,141043,7,11,,
3720407,0,1,1000,22000,0,141041,2,11,,
3720408,0,6,1500,26000,0,142045,7,11,,
3720409,0,5,2500,32000,0,141042,10,11,,
3720501,1,6,1500,2000,0,141043,7,11,,
3720502,1,1,1000,5000,0,141041,2,11,,
3720503,0,1,1000,11000,0,141041,2,11,,
3720504,0,5,1500,13000,0,141043,7,11,,
3720505,0,8,1500,17000,0,142045,9,11,,
3720506,0,3,12000,26000,0,141062,3,11,,
3720507,0,5,2000,31000,0,141043,5,11,,
3720508,1,8,2000,35000,0,142045,9,11,,
3720509,1,5,1000,42000,0,141042,5,11,,
3720510,0,5,1000,45000,0,141042,5,11,,
3720511,0,1,1000,52000,0,141041,2,11,,
3720512,1,6,1000,54000,0,141043,14,11,,
3820101,0,3,1000,2000,0,141060,3,11,,
3820102,0,3,3000,3000,1,141044,3,11,,
3820201,0,3,1000,2000,1,141060,3,11,,
3820202,0,5,1500,5500,0,141042,5,11,,
3820203,0,5,1500,9000,1,141042,5,11,,
3820204,0,3,2000,12000,0,142045,3,11,,
3820301,0,3,1500,2000,0,141044,3,11,,
3820302,0,8,1000,4000,1,141043,9,11,,
3820303,0,3,1500,6000,0,141044,7,11,,
3820304,0,8,1000,8000,1,141043,9,11,,
3820305,0,5,2500,12000,1,141043,5,11,,
3820306,0,5,2500,16000,0,141043,5,11,,
3820401,1,1,1000,2000,1,141038,2,11,,
3820402,0,6,1500,5000,1,141044,7,11,,
3820403,0,5,2000,7000,1,141043,5,11,,
3820404,0,5,1000,10000,1,141042,5,11,,
3820405,1,1,1000,16000,0,141038,2,11,,
3820406,0,6,1500,18000,1,141043,7,11,,
3820407,0,1,1000,22000,0,141041,2,11,,
3820408,0,6,1500,26000,0,142045,7,11,,
3820409,0,5,2500,32000,0,141042,10,11,,
3820501,1,6,1500,2000,1,141043,7,11,,
3820502,1,1,1000,5000,0,141041,2,11,,
3820503,0,1,1000,11000,1,141041,2,11,,
3820504,0,5,1500,13000,1,141043,7,11,,
3820505,0,8,1500,17000,1,142045,9,11,,
3820506,0,3,12000,26000,0,141062,3,11,,
3820507,0,5,2000,31000,0,141043,5,11,,
3820508,1,8,2000,35000,1,142045,9,11,,
3820509,1,5,1000,42000,0,141042,5,11,,
3820510,0,5,1000,45000,1,141042,5,11,,
3820511,0,1,1000,52000,0,141041,2,11,,
3820512,1,6,1000,54000,0,141043,14,11,,
3920101,0,3,1000,2000,0,141060,3,12,,
3920102,0,1,1000,5000,1,141038,3,12,,
3920103,0,3,1000,6000,1,141060,3,12,,
3920104,0,1,1000,9000,0,141038,3,12,,
3920105,0,1,1500,11000,0,141043,3,12,,
3920201,0,5,1000,2000,0,141060,7,12,,
3920202,0,6,800,3000,0,142045,7,12,,
3920203,1,5,2000,8000,0,141042,7,12,,
3920204,0,5,1500,15000,1,141060,9,12,,
3920205,0,1,1000,17000,1,141041,2,12,,
3920301,1,5,2000,2000,0,141042,7,12,,
3920302,0,5,1000,6000,1,141044,5,12,,
3920303,0,3,1500,11000,1,141043,3,12,,
3920304,1,1,3000,14000,0,142045,2,12,,
3920305,1,1,3000,16000,1,142045,2,12,,
3920401,1,17,1000,2000,1,141062,17,12,,
3920402,0,13,800,7500,0,141039,14,12,,
3920403,0,13,2000,11000,1,141042,14,12,,
3920501,0,3,1500,2000,1,141043,7,12,,
3920502,0,1,1000,4500,1,141041,2,12,,
3920503,0,6,1000,7000,0,141043,7,12,,
3920504,0,5,2000,8000,0,141043,5,12,,
3920505,1,6,1500,15000,1,142045,7,12,,
3920506,1,1,1000,18000,0,141041,2,12,,
3920507,0,11,2000,22000,0,141042,12,12,,
3920601,0,6,500,2000,1,141044,7,12,,
3920602,1,1,1000,3000,1,141038,2,12,,
3920603,0,6,2000,9000,1,141039,14,12,,
3920604,0,3,3000,17000,0,141044,7,12,,
3920605,0,10,2500,24000,0,141043,10,12,,
3920606,0,5,2000,34000,1,142045,10,12,,
3920607,0,8,3000,40000,1,141042,9,12,,
3920701,0,1,1000,2000,1,141041,2,12,,
3920702,0,3,800,3000,0,141043,5,12,,
3920703,0,1,1000,8000,1,141041,2,12,,
3920704,0,3,800,9000,0,141043,5,12,,
3920801,1,5,1000,2000,1,141043,7,12,,
3920802,0,1,1000,5000,0,141041,2,12,,
3920803,0,17,5000,11000,1,141062,17,12,,
3920901,0,3,1500,2000,1,141043,7,12,,
3920902,0,3,3000,4500,0,142045,3,12,,
3920903,0,3,8000,7000,1,141038,3,12,,
3920904,0,3,2000,8000,0,141043,5,12,,
3920905,1,3,3500,15000,1,142045,3,12,,
3920906,0,3,2000,18000,1,141043,7,12,,
3920907,0,3,2000,22000,0,141043,7,12,,
3921001,0,17,2000,2000,1,142061,17,12,,
3921002,1,5,1000,3000,1,141044,10,12,,
3921003,0,6,2000,9000,1,141042,7,12,,
3921004,0,5,2000,12000,0,141042,7,12,,
3921005,0,1,1500,24000,0,141038,2,12,,
3921006,0,10,2000,34000,1,141043,10,12,,
3921007,0,5,1500,40000,1,142045,10,12,,
3921008,0,3,8000,45000,0,141038,3,12,,
4020101,0,3,1000,2000,0,141060,3,12,,
4020102,0,1,1000,5000,1,141038,3,12,,
4020103,0,3,1000,6000,1,141060,3,12,,
4020104,0,1,1000,9000,0,141038,3,12,,
4020105,0,1,1500,11000,0,141043,3,12,,
4020201,0,5,1000,2000,0,141039,7,12,,
4020402,0,6,800,3000,0,142045,7,12,,
4020203,1,5,2000,8000,0,141042,7,12,,
4020204,0,5,1500,15000,1,141060,9,12,,
4020205,0,17,1000,17000,1,141062,17,12,,
4020301,1,5,2000,2000,0,141042,7,12,,
4020302,0,5,1000,6000,1,141044,5,12,,
4020303,0,3,1500,11000,1,141043,3,12,,
4020304,1,1,3000,14000,0,142045,2,12,,
4020305,1,1,3000,16000,1,142045,2,12,,
4020401,1,17,1000,2000,1,141062,17,12,,
4020402,0,13,800,7500,0,141039,14,12,,
4020403,0,13,2000,11000,1,141042,14,12,,
4020501,0,3,1500,2000,1,141043,7,12,,
4020502,0,1,1000,4500,1,141041,2,12,,
4020503,0,6,1000,7000,0,141043,7,12,,
4020504,0,5,2000,8000,0,141043,5,12,,
4020505,1,6,1500,15000,1,142045,7,12,,
4020506,1,1,1000,18000,0,141041,2,12,,
4020507,0,11,2000,22000,0,141042,12,12,,
4020601,0,6,500,2000,1,141044,7,12,,
4020602,1,1,1000,3000,1,141038,2,12,,
4020603,0,6,2000,9000,1,141060,14,12,,
4020604,0,3,3000,17000,0,141044,7,12,,
4020605,0,10,2500,24000,0,141043,10,12,,
4020606,0,5,2000,34000,1,142045,10,12,,
4020607,0,8,3000,40000,1,141042,9,12,,
4020701,0,1,1000,2000,1,141041,2,12,,
4020702,0,3,800,3000,0,141043,5,12,,
4020703,0,1,1000,8000,1,141041,2,12,,
4020704,0,3,800,9000,0,141043,5,12,,
4020801,1,5,1000,2000,1,141043,7,12,,
4020802,0,1,1000,5000,0,141041,2,12,,
4020803,0,3,10000,11000,1,141040,3,12,,
4020901,0,3,1500,2000,1,141043,7,12,,
4020902,0,3,3000,4500,0,142045,3,12,,
4020903,0,3,8000,7000,1,141038,3,12,,
4020904,0,3,2000,8000,0,141043,5,12,,
4020905,1,6,3500,15000,1,142045,6,12,,
4020906,0,3,2000,18000,1,141043,7,12,,
4020907,0,3,2000,22000,0,141043,7,12,,
4021001,0,17,2000,2000,1,142061,17,12,,
4021002,1,1,1000,3000,1,141044,1,12,,
4021003,0,6,2000,9000,1,141042,7,12,,
4021004,0,5,2000,12000,0,141042,7,12,,
4021005,0,1,1500,24000,0,141038,2,12,,
4021006,0,10,2000,34000,1,141043,10,12,,
4021007,0,5,1500,40000,1,142045,10,12,,
4021008,0,3,8000,45000,0,141038,3,12,,
10120101,0,2,2500,2000,0,141009,4,101,,
10120102,0,5,1000,3000,0,141003,10,101,,
10120201,0,6,800,2000,0,141006,12,101,,
10120202,0,2,1500,4000,0,141050,3,101,,
10120203,0,8,1500,5500,0,141003,15,101,,
10120301,0,6,1000,2000,0,141007,12,101,,
10120302,0,4,1000,5000,0,141009,4,101,,
10120303,0,8,800,9000,0,141007,8,101,,
10120304,0,8,800,12000,0,142004,8,101,,
10220101,0,2,1500,2000,0,141013,3,102,,
10220201,1,4,1000,2000,1,141014,8,102,,
10220202,0,3,2000,5000,2,141015,3,102,,
10220301,1,4,1500,2000,3,141016,4,102,,
10220302,0,5,2000,4500,0,141015,5,102,,
10220303,1,4,5500,9000,1,141016,4,102,,
10220401,0,6,1000,2000,2,141012,6,102,,
10220402,0,3,6000,3500,3,141015,3,102,,
10220403,0,5,1000,7000,0,141014,5,102,,
10220404,0,6,1000,11000,1,141014,6,102,,
10220501,0,6,2000,2000,2,141017,6,102,,
10220502,0,5,2500,6000,3,141015,5,102,,
10220503,0,7,1500,7000,0,141014,7,102,,
10220504,0,4,2000,11000,1,141016,4,102,,
10220505,0,4,2000,17000,2,141016,4,102,,
10220601,0,4,3000,2000,3,141015,4,102,,
10220602,0,2,4000,3000,0,141013,2,102,,
10220603,0,5,2500,2000,1,141017,5,102,,
10220604,1,5,15000,5000,2,142018,5,102,,
10220605,0,6,1000,12000,3,141014,6,102,,
10220606,1,5,2500,18000,0,142018,5,102,,
10220701,0,7,2000,2000,1,141017,7,102,,
10220702,0,4,900,8000,2,141013,4,102,,
10220703,0,5,1000,9000,3,141012,5,102,,
10220704,0,1,1000,13000,0,141019,1,102,,
10220705,0,4,2000,19000,1,141015,4,102,,
10220706,0,5,1500,27000,2,141014,5,102,,
10220707,0,3,8000,36000,3,142018,3,102,,
10220801,0,3,8000,20000,0,142018,3,102,,
10220802,1,1,1000,2000,1,141019,1,102,,
10220803,0,4,10000,2500,2,141013,8,102,,
10220804,0,5,1500,3500,3,141012,5,102,,
10220805,1,7,8000,10000,0,141016,7,102,,
10220806,1,7,8000,15000,1,141016,7,102,,
10220807,0,4,800,35000,2,141015,4,102,,
10220808,0,4,800,38000,3,141015,4,102,,
10320101,0,4,1000,2000,0,141023,8,103,,
10320102,0,4,1000,5000,1,141021,8,103,,
10320103,0,5,1000,6000,2,141023,10,103,,
10320104,0,4,1500,11000,3,141022,8,103,,
10320201,0,4,1000,2000,4,141021,4,103,,
10320202,0,5,2000,3000,5,141027,10,103,,
10320203,1,4,2000,8000,6,141025,8,103,,
10320204,0,2,1000,17000,7,141026,4,103,,
10320301,1,4,2000,2000,8,141025,8,103,,
10320302,0,3,1500,11000,0,141022,6,103,,
10320303,1,4,3000,14000,1,141027,8,103,,
10320304,1,4,3000,16000,2,141027,8,103,,
10320401,1,2,1000,2000,3,141024,4,103,,
10320402,0,5,2000,7500,4,141023,10,103,,
10320403,0,5,2000,11000,5,141025,10,103,,
10320501,0,6,1500,2000,6,141023,12,103,,
10320502,0,3,1000,7000,7,141026,6,103,,
10320503,0,1,1000,11000,8,141028,1,103,,
10320504,0,4,2000,18000,0,141022,8,103,,
10320505,1,5,1500,29000,1,141027,10,103,,
10320506,1,3,1000,38000,2,141026,6,103,,
10320507,0,5,2000,44000,3,141025,10,103,,
10320601,0,6,1500,2000,4,141022,6,103,,
10320602,1,6,1000,3000,5,141024,6,103,,
10320603,0,5,2000,9000,6,141023,10,103,,
10320604,0,5,3000,17000,7,141025,10,103,,
10320605,0,6,2500,24000,8,141023,12,103,,
10320606,0,5,2000,34000,0,141027,10,103,,
10320607,0,5,3000,40000,1,141025,10,103,,
10320701,0,6,1000,2000,2,141026,6,103,,
10320702,0,8,2000,5000,3,141022,8,103,,
10320703,0,6,1000,13000,4,141026,6,103,,
10320704,0,6,1500,21000,5,141022,6,103,,
10320801,1,5,1000,2000,6,141023,10,103,,
10320802,0,3,1000,5000,7,141026,6,103,,
10320803,0,3,1000,11000,8,141024,6,103,,
10320901,0,6,1500,2000,0,141023,12,103,,
10320902,0,5,3000,6000,1,141027,10,103,,
10320903,0,3,8000,11000,2,141024,6,103,,
10320904,0,3,2000,20000,3,141022,6,103,,
10320905,1,5,3500,32000,4,141027,10,103,,
10320906,0,4,2000,41000,5,141023,8,103,,
10320907,0,4,2000,53000,6,141023,8,103,,
10321001,0,1,2000,2000,7,141028,1,103,,
10321002,0,3,3000,9000,8,141025,6,103,,
10321003,0,3,3000,12000,0,141025,6,103,,
10321004,0,3,3500,24000,1,141024,6,103,,
10321005,0,6,1500,34000,2,141022,6,103,,
10321006,0,6,1500,40000,3,141027,12,103,,
10321007,0,3,8000,45000,0,141024,6,103,,
10420101,0,5,2000,2000,0,141031,5,104,,
10420102,0,5,2000,10000,0,141031,5,104,,
10420201,0,4,2500,2000,1,141030,8,104,,
10420202,0,5,3000,9000,1,141033,10,104,,
10420203,0,5,800,16000,1,141031,5,104,,
10420301,1,3,2500,2000,1,141063,6,104,,
10420302,1,3,2500,6000,0,141063,6,104,,
10420303,1,3,2500,12000,1,141063,6,104,,
10420304,1,3,2500,24000,0,141063,6,104,,
10420401,1,5,1000,2000,1,142032,5,104,,
10420402,1,5,1000,7000,0,142032,5,104,,
10420403,1,5,1000,13000,1,142032,5,104,,
10420404,1,5,1000,25000,0,142032,5,104,,
10420501,1,4,1500,2000,0,141063,8,104,,
10420502,1,4,1000,5000,0,142032,8,104,,
10420503,1,4,1000,11000,0,141063,8,104,,
10420504,1,6,1000,23000,1,141035,6,104,,
10420505,1,3,2500,32000,1,141063,6,104,,
10420601,0,6,1000,2000,0,141034,12,104,,
10420602,0,1,2000,6000,0,142037,1,104,,
10420603,0,5,1000,12000,1,141034,10,104,,
10420604,0,3,2500,21000,1,141031,6,104,,
10420605,1,5,3000,33000,1,141063,10,104,,
10420701,0,6,2500,2000,1,141034,12,104,,
10420702,1,4,1000,7000,1,141063,8,104,,
10420703,1,4,1500,13000,0,141063,8,104,,
10420704,0,4,2000,21000,0,141033,8,104,,
10420705,0,4,2000,30000,1,141033,8,104,,
10420706,0,3,2500,42000,1,141031,6,104,,
10420801,0,4,3000,2000,1,141033,8,104,,
10420802,0,3,2000,5000,1,141031,6,104,,
10420803,0,4,3000,12000,0,141033,8,104,,
10420804,0,3,2000,20000,0,141031,6,104,,
10420805,1,4,2000,31000,1,141035,4,104,,
10420806,0,4,1000,41000,0,141034,8,104,,
10420901,1,3,2000,2000,0,141035,6,104,,
10420902,1,4,2000,8000,1,141035,8,104,,
10420903,1,4,3000,16000,0,141063,8,104,,
10420904,1,4,3000,22000,1,141063,8,104,,
10420905,1,4,3000,28000,0,142032,8,104,,
10420906,0,4,3000,36000,0,141033,8,104,,
10421001,1,1,1000,2000,1,142037,1,104,,
10421002,0,5,3000,8000,0,141033,5,104,,
10421003,0,5,3000,16000,1,141033,5,104,,
10421004,1,1,2000,26000,0,141035,1,104,,
10421005,0,3,3500,32000,1,141034,6,104,,
